Item,ID,Quantity,Price,Expiration Date,Date Added,Date Updated,Date Removed
Advil,1,219,8.99,2024-11-27,2023-11-01,2023-11-05,
Tylenol,2,239,9.49,2024-12-12,2023-11-02,2023-11-06,
Amoxicillin,3,170,15.99,2034-11-27,2023-11-03,2023-11-07,
Cough Syrup,4,200,6.79,2024-12-29,2023-10-20,2024-11-10,
Snickers,5,200,1.50,2025-06-15,2024-11-10,2024-11-10,
Ibuprofen,6,120,7.89,2026-12-12,2024-11-10,2024-11-10,
Vitamin C,7,120,10.00,2025-03-15,2024-05-20,2024-10-01,
Water Bottle,8,221,0.99,2024-12-31,2024-01-01,2024-09-15,
Band-Aids,9,150,3.99,2025-05-01,2024-08-01,2024-11-10,2024-11-10
Benadryl,10,195,12.49,2025-07-20,2024-02-10,2024-11-10,
Gatorade,11,133,1.89,2024-12-01,2024-11-05,2024-11-10,
Claritin,12,158,13.99,2025-10-01,2024-03-01,2024-11-10,
Pepto-Bismol,13,150,5.99,2024-08-15,2024-06-10,2024-07-15,
Chocolate Bar,14,150,1.25,2024-12-01,2024-11-01,2024-11-05,
Zyrtec,15,160,14.99,2026-01-01,2024-07-01,2024-11-10,
Advil PM,16,150,10.99,2025-03-01,2023-12-01,2024-10-01,
Cough Drops,17,150,4.99,2025-01-15,2024-08-10,2024-11-01,
Granola Bar,18,200,0.99,2024-05-15,2024-02-10,2024-11-10,2024-11-15
Eye Drops,19,170,7.50,2025-01-01,2024-06-15,2024-11-10,
Cold Medicine,20,200,6.99,2024-12-12,2024-03-20,2024-11-10,
Hydrocodone,21,145,49.99,2025-06-01,2024-03-10,2024-11-10,
Metformin,22,150,12.99,2025-07-20,2024-05-01,2024-10-15,
Lisinopril,23,330,9.89,2026-12-12,2024-04-12,2024-11-10,
Albuterol Inhaler,24,180,35.99,2025-02-28,2024-01-15,2024-11-10,
Prednisone,25,200,5.99,2024-12-15,2024-06-10,2024-11-10,
Lipitor,26,220,20.49,2026-03-12,2024-07-01,2024-11-10,
Xanax,27,170,80.00,2025-11-01,2023-11-01,2024-11-10,
Oxycodone,28,145,70.00,2025-09-15,2024-01-12,2024-11-10,
Melatonin,29,150,8.99,2025-01-20,2024-02-15,2024-11-10,
Azithromycin,30,150,15.99,2025-04-25,2024-08-01,2024-11-10,
Naproxen,31,220,6.99,2025-02-10,2024-03-01,2024-11-10,
Omeprazole,32,120,12.99,2025-06-20,2024-05-01,2024-11-10,
Citalopram,33,180,15.89,2025-03-15,2024-04-10,2024-11-10,
Cetirizine,34,200,13.49,2025-05-20,2024-06-15,2024-11-10,
Sertraline,35,195,20.99,2025-07-01,2024-08-01,2024-11-10,
Prozac,36,168,22.99,2025-09-12,2024-10-05,2024-11-10,
Plavix,37,190,18.49,2025-08-20,2024-07-01,2024-11-10,
Wellbutrin,38,180,25.99,2025-10-01,2024-05-01,2024-11-10,
Propranolol,39,210,14.49,2025-11-01,2024-03-15,2024-11-10,
Atorvastatin,40,200,18.89,2025-08-10,2024-06-10,2024-11-10,
Insulin Pen,41,170,75.00,2025-04-10,2024-05-10,2024-11-10,
Vitamin D,42,200,6.49,2025-07-01,2024-02-15,2024-11-10,
Fluoxetine,43,190,18.99,2025-03-20,2024-01-15,2024-11-10,
Codeine,44,150,55.00,2025-09-15,2024-05-20,2024-11-10,
Gabapentin,45,177,10.99,2025-12-01,2024-06-10,2024-11-10,
Ambien,46,160,25.99,2025-11-20,2024-07-01,2024-11-10,
Crestor,47,195,22.49,2025-12-15,2024-08-01,2024-11-10,
Losartan,48,210,15.49,2025-07-10,2024-05-20,2024-11-10,
Clindamycin,49,190,19.99,2025-11-01,2024-06-15,2024-11-10,
Pantoprazole,50,180,13.99,2025-05-20,2024-07-01,2024-11-10,
